Dijkstra from v0
v0 -> v475: 27
v0 -> v476: 39
v0 -> v477: 22
v0 -> v478: 24
v0 -> v479: 24
v0 -> v480: 25
v0 -> v481: 24
v0 -> v482: 12
v0 -> v483: 25
v0 -> v484: 25
v0 -> v485: 27
v0 -> v486: 16
v0 -> v487: 24
v0 -> v488: 25
v0 -> v489: 24
v0 -> v490: 12
v0 -> v491: 24
v0 -> v492: 13
v0 -> v493: 26
v0 -> v494: 36
v0 -> v495: 24
v0 -> v496: 25
v0 -> v497: 24
v0 -> v498: 24
v0 -> v499: 32
v0 -> v500: 28
v0 -> v501: 27
v0 -> v502: 12
v0 -> v503: 24
v0 -> v504: 24
v0 -> v505: 24
v0 -> v506: 12
v0 -> v507: 24
v0 -> v508: 24
v0 -> v509: 27
v0 -> v510: 27
v0 -> v511: 24
v0 -> v512: 25
v0 -> v513: 25
v0 -> v514: 27
v0 -> v515: 22
v0 -> v516: 12
v0 -> v517: 25
v0 -> v518: 13
v0 -> v519: 26
v0 -> v520: 25
v0 -> v521: 24
v0 -> v522: 12
v0 -> v523: 26
v0 -> v524: 24
v0 -> v525: 24
v0 -> v526: 34
v0 -> v527: 24
v0 -> v528: 12
v0 -> v529: 24
v0 -> v530: 25
v0 -> v531: 24
v0 -> v532: 27
v0 -> v533: 12
v0 -> v534: 25
v0 -> v535: 21
v0 -> v536: 27
v0 -> v537: 26
v0 -> v538: 25
v0 -> v539: 36
v0 -> v540: 24
v0 -> v541: 24
v0 -> v542: 12
v0 -> v543: 25
v0 -> v544: 12
v0 -> v545: 24
v0 -> v546: 24
v0 -> v547: 24
v0 -> v548: 24
v0 -> v549: 25
v0 -> v550: 32
v0 -> v551: 25
v0 -> v552: 24
v0 -> v553: 12
v0 -> v554: 26
v0 -> v555: 28
v0 -> v556: 25
v0 -> v557: 26
v0 -> v558: 38
v0 -> v559: 38
v0 -> v560: 25
v0 -> v561: 26
v0 -> v562: 13
v0 -> v563: 24
v0 -> v564: 36
v0 -> v565: 26
v0 -> v566: 27
v0 -> v567: 24
v0 -> v568: 26
v0 -> v569: 25
v0 -> v570: 37
v0 -> v571: 25
v0 -> v572: 33
v0 -> v573: 24
v0 -> v574: 40
v0 -> v575: 27
v0 -> v576: 36
v0 -> v577: 12
v0 -> v578: 36
v0 -> v579: 24
v0 -> v580: 34
v0 -> v581: 25
v0 -> v582: 24
v0 -> v583: 36
v0 -> v584: 24
